omega,sqrt_omega,Lx,Ly,Lz,Nx,Ny,Nz,hx,hy,hz,dt,n_steps,T_final,theta,k_bc,k0,z0,z_det,Mpart,sigma_z_stdout_name,final_survival_S20,detected_fraction_D20_from_stdout,execution_time_s,execution_time_h
1.0,1.0,10.0,10.0,20.0,100,100,1500,0.10000000149011612,0.10000000149011612,0.013333333656191826,0.001,20000,20.0,0.0,3.141592653589793,3.141592653589793,10.0,19.986665725708008,100000,0.5,0.074992,0.925008,8635.33,2.398702777777778
25.0,5.0,2.0,2.0,20.0,100,100,1500,0.019999999552965164,0.019999999552965164,0.013333333656191826,0.0008,25000,20.0,0.0,3.141592653589793,3.141592653589793,10.0,19.986665725708008,100000,0.5,0.149543,0.850457,10800.36,3.0001
50.0,7.0710678118654755,1.414213562373095,1.414213562373095,20.0,100,100,1500,0.01414213515818119,0.01414213515818119,0.013333333656191826,0.0007,28571,20.0,0.0,3.141592653589793,3.141592653589793,10.0,19.986665725708008,100000,0.5,0.212688,0.787312,16577.4,4.604833333333334
100.0,10.0,1.0,1.0,20.0,100,100,1500,0.009999999776482582,0.009999999776482582,0.013333333656191826,0.0004,50000,20.0,0.0,3.141592653589793,3.141592653589793,10.0,19.986665725708008,100000,0.5,0.330185,0.669815,21632.95,6.009152777777778
150.0,12.24744871391589,0.816496580927726,0.816496580927726,20.0,100,100,1500,0.00816496554762125,0.00816496554762125,0.013333333656191826,0.0003,66667,20.0,0.0,3.141592653589793,3.141592653589793,10.0,19.986665725708008,100000,0.5,0.423568,0.576432,28866.25,8.018402777777778
200.0,14.142135623730951,0.7071067811865475,0.7071067811865475,20.0,100,100,1500,0.007071067579090595,0.007071067579090595,0.013333333656191826,0.0002,100000,20.0,0.0,3.141592653589793,3.141592653589793,10.0,19.986665725708008,100000,0.5,0.492455,0.507545,43308.23,12.03006388888889
250.0,15.811388300841896,0.6324555320336759,0.6324555320336759,20.0,100,100,1500,0.00632455525919795,0.00632455525919795,0.013333333656191826,0.00015,133333,20.0,0.0,3.141592653589793,3.141592653589793,10.0,19.986665725708008,100000,0.5,0.544115,0.455885,80170.38,22.269550000000002
300.0,17.320508075688775,0.5773502691896257,0.5773502691896257,20.0,100,100,1500,0.005773502867668867,0.005773502867668867,0.013333333656191826,0.00015,133333,20.0,0.0,3.141592653589793,3.141592653589793,10.0,19.986665725708008,100000,0.5,0.584184,0.41581599999999996,79814.98,22.170827777777777
