omega,sqrt_omega,run_id,plane,z_pos,dist_to_roof,dist_to_bottom,t_arrival,t_pk_outgoing,t_return_pred,t_pk_incoming,t_cut_noreturn,incident_window_start,incident_window_end,reflection_window_start,reflection_window_end,P_inc_net_firstbounce,P_refl_net_firstbounce,R_net_firstbounce,P_inc_loc_firstbounce,P_refl_loc_firstbounce,R_loc_firstbounce,baseline_ok,search_window_used,source_metrics_json
1.0,1.0,2810.Spin_Gauss_DirichletABC_theta=0+C_Omega=1_L=10_TauTail,plane1,19.133333206176758,0.85333251953125,19.133333206176758,1.0,2.16,2.671999186198435,8.46,13.57799217987559,1.0,2.5807992675785925,7.120000000000001,9.8,0.3754196438807728,0.003792259346918499,0.010101387630432196,0.37541964388159743,0.004122726818498287,0.010981649164311024,True,stage2_due_to_no_crossing,s4_reflection_metrics_omega001.json
1.0,1.0,2810.Spin_Gauss_DirichletABC_theta=0+C_Omega=1_L=10_TauTail,plane2,18.53333282470703,1.4533329010009766,18.53333282470703,0.9400000000000001,1.98,2.8519991861984346,8.26,13.415992179875587,0.9400000000000001,2.724799267578592,6.18,10.34,0.4823204070148924,0.00796288260237321,0.016509528700342432,0.4823204084891901,0.009542929982439465,0.019785457580639248,True,stage2_due_to_no_crossing,s4_reflection_metrics_omega001.json
50.0,7.0710678118654755,2811.Spin_Gauss_DirichletABC_theta=0+C_Omega=50_L=10_TauTail,plane1,19.133333206176758,0.85333251953125,19.133333206176758,0.994,2.226,2.4649329535592694,7.2379999999999995,7.554396350608608,0.994,2.413039658203343,6.811,7.554396350608608,0.2985555478052611,0.0014893974425719415,0.004988677830711192,0.29855554780554905,0.0014990946677983774,0.00502115830309322,True,stage2_due_to_no_crossing,s4_reflection_metrics_omega050.json
50.0,7.0710678118654755,2811.Spin_Gauss_DirichletABC_theta=0+C_Omega=50_L=10_TauTail,plane2,18.53333282470703,1.4533329010009766,18.53333282470703,0.938,2.142,2.5489329535592695,6.566,7.478796350608607,0.938,2.480239658203343,5.901,7.231,0.4046339392363935,0.004473307118782212,0.011055195041780307,0.40463393923670227,0.004479706699747743,0.01107101077136095,True,stage2_due_to_no_crossing,s4_reflection_metrics_omega050.json
100.0,10.0,2815.Spin_Gauss_DirichletABC_theta=0+C_Omega=100_L=10_TauTail,plane1,19.133333206176758,0.85333251953125,19.133333206176758,0.99,2.21,2.380666395399478,5.88,6.015997393291864,0.99,2.3435997558595307,5.525,6.015997393291864,0.24458696949363284,0.0008975064132710029,0.0036694776305095313,0.24458696949402722,0.0009028671550092682,0.00369139515844615,True,stage2_due_to_no_crossing,s4_reflection_metrics_omega100.json
100.0,10.0,2815.Spin_Gauss_DirichletABC_theta=0+C_Omega=100_L=10_TauTail,plane2,18.53333282470703,1.4533329010009766,18.53333282470703,0.93,2.15,2.4406663953994783,5.73,5.961997393291862,0.93,2.3915997558595308,5.430000000000001,5.961997393291862,0.3532511008650151,0.0032338709294167825,0.0091545954747145,0.35325110086537787,0.003233894436171491,0.00915466201874318,True,stage2_due_to_no_crossing,s4_reflection_metrics_omega100.json
150.0,12.24744871391589,2812.Spin_Gauss_DirichletABC_theta=0+C_Omega=150_L=10_TauTail,plane1,19.133333206176758,0.85333251953125,19.133333206176758,0.98,2.2,2.3564441957828555,4.425,5.688830943850881,0.98,2.3307997762045702,3.9499999999999997,4.9,0.22036120998865932,0.004520601139464069,0.02051450497887862,0.22036120999053393,0.004521430720045596,0.020518269618504198,True,stage2_due_to_no_crossing,s4_reflection_metrics_omega150.json
150.0,12.24744871391589,2812.Spin_Gauss_DirichletABC_theta=0+C_Omega=150_L=10_TauTail,plane2,18.53333282470703,1.4533329010009766,18.53333282470703,0.925,2.145,2.4114441957828556,5.245,5.639330943850881,0.925,2.3747997762045703,4.905,5.585,0.33133465688670755,0.004759718804232264,0.014365291119726552,0.3313346568881895,0.004761128101081318,0.014369544513684794,True,stage2_due_to_no_crossing,s4_reflection_metrics_omega150.json
200.0,14.142135623730951,2813.Spin_Gauss_DirichletABC_theta=0+C_Omega=200_L=10_TauTail,plane1,19.133333206176758,0.85333251953125,19.133333206176758,0.9760000000000001,2.18,2.282399837239687,3.9480000000000004,4.463598435975118,0.9760000000000001,2.2641598535157184,3.6700000000000004,4.226000000000001,0.18942441527230205,0.0030522353796889846,0.016113209985636354,0.18942441527506487,0.003053662315908655,0.016120742996484402,True,stage2_due_to_no_crossing,s4_reflection_metrics_omega200.json
200.0,14.142135623730951,2813.Spin_Gauss_DirichletABC_theta=0+C_Omega=200_L=10_TauTail,plane2,18.53333282470703,1.4533329010009766,18.53333282470703,0.92,2.144,2.3183998372396872,3.14,4.4311984359751175,0.92,2.2929598535157183,2.94,3.3400000000000003,0.29592104206609726,0.0020170213082634936,0.00681607936421422,0.29592104206792147,0.0020311427289777077,0.006863799595945963,True,stage2_due_to_no_crossing,s4_reflection_metrics_omega200.json
300.0,17.320508075688775,2814.Spin_Gauss_DirichletABC_theta=0+C_Omega=300_L=10_TauTail,plane1,19.133333206176758,0.85333251953125,19.133333206176758,0.9719999999999999,2.166,2.234266558159791,3.627,3.6883989573167453,0.9719999999999999,2.221439902343812,3.5685,3.6854999999999998,0.16461556455504014,0.0006061543515356798,0.0036822420357037907,0.16461556455910675,0.0006063382328035439,0.003683359070131139,True,stage2_due_to_no_crossing,s4_reflection_metrics_omega300.json
300.0,17.320508075688775,2814.Spin_Gauss_DirichletABC_theta=0+C_Omega=300_L=10_TauTail,plane2,18.53333282470703,1.4533329010009766,18.53333282470703,0.9179999999999999,2.142,2.258266558159791,3.1079999999999997,3.666798957316745,0.9179999999999999,2.240639902343812,2.7239999999999993,3.492,0.26739829134202536,0.01884982924564664,0.07049345435620638,0.26739829134437787,0.01885382473703441,0.0705083964532626,True,stage2_due_to_no_crossing,s4_reflection_metrics_omega300.json
