omega,sqrt_omega,eps_step,epsilon,epsilon_sqrt_omega,O_eps2_R2_scale,O_eps2_omega_Es2_scale,exact_Z,exact_tau,exact_RMST_T,exact_beta_from_tau,linear_Z,linear_tau,linear_RMST_T,linear_density_L1_relerr,linear_negative_mass_integral,quadratic_Z,quadratic_tau,quadratic_density_L1_relerr,quadratic_negative_mass_integral,source_json,notes
1.0,1.0,1,0.013333333656191826,0.013333333656191826,0.00017394204678630317,0.00017394204678630317,0.9251517165624803,3.9494459717793537,5.150802389012837,-0.07704054462674569,0.9248299104177142,3.9494025305885665,5.155927380213433,0.0003478414826508082,0.0,0.925151711829094,3.9494461822079474,2.2815346109234766e-07,0.0,s7_boundary_symbol_summary_omega001.json,"finite-epsilon exact two-branch check; Taylor rows are diagnostics, not observables"
1.0,1.0,2,0.02666666731238365,0.02666666731238365,0.0006957681871452127,0.0006957681871452127,0.9259225692025629,3.9485057797372094,5.137559232034189,-0.07377747304005446,0.924635027946587,3.948331430805118,5.158064983933137,0.0013905495975594648,0.0,0.9259222335921065,3.948507381010603,2.0930452177137114e-06,0.0,s7_boundary_symbol_summary_omega001.json,"finite-epsilon exact two-branch check; Taylor rows are diagnostics, not observables"
1.0,1.0,3,0.04000000096857548,0.04000000096857548,0.0015654784210767285,0.0015654784210767285,0.9273384964562285,3.9476533874505844,5.114041027724193,-0.07049478867632498,0.9244401454754599,3.9472598794216966,5.160202587652841,0.003125450945738186,1.7759776205820654e-17,0.9273363581778786,3.9476585103001365,7.977344196597974e-06,0.0,s7_boundary_symbol_summary_omega001.json,"finite-epsilon exact two-branch check; Taylor rows are diagnostics, not observables"
1.0,1.0,4,0.0533333346247673,0.0533333346247673,0.0027830727485808507,0.0027830727485808507,0.9294015403983251,3.9468894553713443,5.0802143316375314,-0.06719481764615502,0.9242452630043329,3.9461878761526337,5.162340191372543,0.005547954430743029,1.1086924274729923e-13,0.9293940855864106,3.946900923095722,2.1073742283356193e-05,0.0,s7_boundary_symbol_summary_omega001.json,"finite-epsilon exact two-branch check; Taylor rows are diagnostics, not observables"
50.0,7.0710678118654755,1,0.013333333656191826,0.09428090644116063,0.024387617686291548,0.02438761768629155,0.6215329388068894,5.0053453876215,10.680328252374112,-0.040275687572540644,0.5876621605289702,5.00599569829182,11.188591037077497,0.054495548285724706,1.1302276390535824e-08,0.6260752242826282,5.005136389505341,0.007308198327245703,0.0,s7_boundary_symbol_summary_omega050.json,"finite-epsilon exact two-branch check; Taylor rows are diagnostics, not observables"
50.0,7.0710678118654755,2,0.02666666731238365,0.18856181288232127,0.09755047074516619,0.0975504707451662,0.5086632578291803,4.998632387377392,12.36935547827023,-0.055738902884581734,0.3877717143455386,4.99960440387225,14.183270883828275,0.237665177547067,0.008025868726694696,0.5414239693601702,4.997443563142858,0.06440550990807709,0.0,s7_boundary_symbol_summary_omega050.json,"finite-epsilon exact two-branch check; Taylor rows are diagnostics, not observables"
50.0,7.0710678118654755,3,0.04000000096857548,0.28284271932348193,0.21948855917662394,0.21948855917662394,0.43321836956026194,4.9891287751065425,13.497014842272604,-0.07075961118853669,0.18788126816210704,4.979613470641259,17.17795073057905,0.566312785044605,0.08223634146566683,0.5335988419450279,4.987632364100134,0.2317087699558587,0.0,s7_boundary_symbol_summary_omega050.json,"finite-epsilon exact two-branch check; Taylor rows are diagnostics, not observables"
50.0,7.0710678118654755,4,0.0533333346247673,0.37712362576464253,0.39020188298066477,0.3902018829806648,0.38527106580594933,4.977230949074373,14.212161756393254,-0.08461858313518328,-0.012009178021324542,,20.172630577329826,1.0311707239063035,0.21076112245591766,0.6025998420372016,4.979372789485171,0.5640934259946611,0.0,s7_boundary_symbol_summary_omega050.json,"finite-epsilon exact two-branch check; Taylor rows are diagnostics, not observables"
100.0,10.0,1,0.013333333656191826,0.13333333656191826,0.05581799254958103,0.05581799254958104,0.4557089119004167,6.010313632308741,13.624775247551323,0.022123192702042375,0.3931777998690523,6.014684355522501,14.501284364430099,0.13721722441326506,6.564444726015893e-05,0.46799713094951256,6.009258881971545,0.02696506261840311,0.0,s7_boundary_symbol_summary_omega100.json,"finite-epsilon exact two-branch check; Taylor rows are diagnostics, not observables"
100.0,10.0,2,0.02666666731238365,0.2666666731238365,0.22327197019832412,0.22327197019832415,0.32969035159817617,6.00994659961577,15.387614375550063,0.009685223785705445,0.11614759268073163,6.056925832514824,18.3805455008777,0.6477070314077878,0.06366754749722346,0.41542491700257267,6.00204626342753,0.2600457491652834,0.0,s7_boundary_symbol_summary_omega100.json,"finite-epsilon exact two-branch check; Taylor rows are diagnostics, not observables"
100.0,10.0,3,0.04000000096857548,0.4000000096857548,0.5023619329462293,0.5023619329462293,0.2569675907084401,6.00542394914115,16.403847509224764,-0.004849810055629118,-0.16088261450758906,,22.2598066373253,1.6260813438147896,0.26132054786719905,0.5124913652165534,5.989241072649571,0.9943822464661235,0.0,s7_boundary_symbol_summary_omega100.json,"finite-epsilon exact two-branch check; Taylor rows are diagnostics, not observables"
100.0,10.0,4,0.0533333346247673,0.533333346247673,0.8930878807932965,0.8930878807932966,0.21870677718324777,5.996596005864306,16.937360642847562,-0.020189750784998902,-0.43791282169590984,,26.139067773772908,3.0022828159961215,0.5129986152635103,0.7591964755914545,5.980560172737996,2.471331312407878,0.0,s7_boundary_symbol_summary_omega100.json,"finite-epsilon exact two-branch check; Taylor rows are diagnostics, not observables"
