omega,sqrt_omega,run_id,Lx,Ly,Lz,Nx,Ny,Nz,T_final_saved,dt_saved,kappa,P0,P_final,total_loss,roof_flux_integral_net,roof_flux_explains_loss_ratio,max_rel_err_lossrate_minus_Jnet,roof_net_backflow_ratio,roof_int_Jminus,roof_int_Jplus,roof_flux_integral_positive,kappa_rho_integral,max_rel_err_Jnet_minus_kappa_rho,roof_detection_mean_time,roof_detection_median_time,roof_detection_peak_time,roof_detection_q10,roof_detection_q90,roof_detection_q95,fraction_of_detected_flux_by_t2,fraction_of_detected_flux_by_t3,fraction_of_detected_flux_by_t4,fraction_of_detected_flux_by_t5,fraction_of_detected_flux_by_t8,fraction_of_detected_flux_by_t10,fraction_of_detected_flux_by_t12,fraction_of_detected_flux_by_t15,fraction_of_detected_flux_by_t20,source_metrics_json,notes
1.0,1.0,2810.Spin_Gauss_DirichletABC_theta=0+C_Omega=1_L=10_TauTail,10.0,10.0,20.0,100,100,1500,20.0,0.019999999999999574,3.141592653589793,0.9999999403953552,0.07499200105667114,0.9250079393386841,0.9250299546151229,1.000023800094575,0.0059653623011212305,5.791724736596241e-14,5.3575188702372164e-14,0.9250299546151766,0.9250299546151766,0.9250247849945032,0.005932398589715667,3.9463077319184534,3.123597088340935,2.44,2.013519138531887,6.672705236535328,9.35152093962573,0.0958451832883045,0.46114343242588346,0.7000537292309245,0.8168434389023532,0.92951546683409,0.9575016080739006,0.9735589549398678,0.9869997665300114,0.9999999999999987,s4_reflection_metrics_omega001.json,Roof budget for the detector-present flux/norm-loss diagnostic.
50.0,7.0710678118654755,2811.Spin_Gauss_DirichletABC_theta=0+C_Omega=50_L=10_TauTail,1.414213562373095,1.414213562373095,20.0,100,100,1500,19.992,0.01399999999999979,3.141592653589793,1.0,0.2127625048160553,0.7872374951839447,0.7875940529943358,1.0004529227997554,0.006763157947220047,8.534636334753713e-14,6.721828821721974e-14,0.7875940529944031,0.7875940529944031,0.787552624060987,0.0064841106097042606,5.005675505474168,3.118968409171146,2.352,1.9705115308127936,13.140243976579553,16.07391305824992,0.1095399555780417,0.4669389327065749,0.6669141805005919,0.7541162696511957,0.8291845905477444,0.8513277389022929,0.8825532366287201,0.9338165507443889,,s4_reflection_metrics_omega050.json,Roof budget for the detector-present flux/norm-loss diagnostic.
100.0,10.0,2815.Spin_Gauss_DirichletABC_theta=0+C_Omega=100_L=10_TauTail,1.0,1.0,20.0,100,100,1500,20.0,0.009999999999999787,3.141592653589793,1.0,0.3302757143974304,0.6697242856025696,0.6702802670169986,1.000830164631,0.007024117099439175,9.30947406881983e-14,6.239956764636962e-14,0.670280267017061,0.670280267017061,0.670208013017774,0.006622466382218339,6.004619319383527,3.3345369559418656,2.31,1.9827920588705807,14.986307982826839,17.198742196952473,0.1052278989724467,0.42597378860406454,0.5967413201078311,0.6687799980710533,0.7318556568544574,0.7655296981064029,0.8188825392539903,0.9001762109542268,0.9999999999999989,s4_reflection_metrics_omega100.json,Roof budget for the detector-present flux/norm-loss diagnostic.
150.0,12.24744871391589,2812.Spin_Gauss_DirichletABC_theta=0+C_Omega=150_L=10_TauTail,0.816496580927726,0.816496580927726,20.0,100,100,1500,20.0,0.004999999999999893,3.141592653589793,0.9999999403953552,0.4235045313835144,0.5764954090118408,0.5768086382560131,1.0005433334581262,0.007058601656926817,1.8739786687467398e-13,1.080927084040826e-13,0.5768086382561213,0.5768086382561213,0.5767204884658552,0.006708739155106676,6.63055472843576,3.56517133222266,2.3000000000000003,1.9994107221529094,15.827983022992111,17.70519878608339,0.10016946552667022,0.3966371103499386,0.5508291094266464,0.6148617061935954,0.6728068539889155,0.7147858999233514,0.7808313893994107,0.8779294025300973,1.0000000000000036,s4_reflection_metrics_omega150.json,Roof budget for the detector-present flux/norm-loss diagnostic.
200.0,14.142135623730951,2813.Spin_Gauss_DirichletABC_theta=0+C_Omega=200_L=10_TauTail,0.7071067811865475,0.7071067811865475,20.0,100,100,1500,20.0,0.0040000000000000036,3.141592653589793,1.0000001192092896,0.4924547076225281,0.5075454115867615,0.5078586926863383,1.000617247427373,0.007061464146086255,1.1654618792769467e-13,5.918899463854221e-14,0.5078586926863975,0.5078586926863975,0.5077644411310094,0.006795441332259619,7.015803891891745,3.7699853005495005,2.2920000000000003,2.01197956970496,16.290118427054843,17.877437048485362,0.09666852184043163,0.37828934943611814,0.5227627564742964,0.5822085092261601,0.6373588324466413,0.6842081646552975,0.7574058985358352,0.8634190064742853,1.000000000000001,s4_reflection_metrics_omega200.json,Roof budget for the detector-present flux/norm-loss diagnostic.
300.0,17.320508075688775,2814.Spin_Gauss_DirichletABC_theta=0+C_Omega=300_L=10_TauTail,0.5773502691896257,0.5773502691896257,20.0,100,100,1500,19.997999999999998,0.0030000000000001137,3.141592653589793,1.0,0.5842261910438538,0.41577380895614624,0.4160880028550261,1.0007556846826613,0.007352466874489951,1.2677830444320185e-07,5.2750938188792845e-08,0.41608805560596435,0.41608805560596435,0.4159970042257348,0.006919499162526867,7.451324261156121,4.110722292185285,2.274,2.0269423425524336,16.59254829268786,18.36918072605896,0.09282056941864508,0.3577583320399783,0.49138506585580044,0.5457718555099126,0.5979174761818502,0.6500959158741817,0.730806772710533,0.8462362440610147,,s4_reflection_metrics_omega300.json,Roof budget for the detector-present flux/norm-loss diagnostic.
