omega,sqrt_omega,run_id,Lx,Ly,Lz,Nx,Ny,Nz,dt_solver,dt_saved,T_final,kappa,plane1_z,plane1_dist_to_roof,plane1_t_pk_up,plane1_t_return_pred,plane1_t_no_return,plane2_z,plane2_dist_to_roof,plane2_t_pk_up,plane2_t_return_pred,plane2_t_no_return,min_t_no_return_over_planes,common_t_cut_used_in_S4,margin_min_t_no_return_minus_common_t_cut,common_t_cut_is_before_all_no_return_estimates,source_metrics_json,source_summary_json,notes
1.0,1.0,2810.Spin_Gauss_DirichletABC_theta=0+C_Omega=1_L=10_TauTail,10.0,10.0,20.0,100,100,1500,0.001,0.019999999999999574,20.0,3.141592653589793,19.133333206176758,0.85333251953125,2.16,2.671999186198435,13.57799217987559,18.53333282470703,1.4533329010009766,1.98,2.8519991861984346,13.415992179875587,13.415992179875587,3.6,9.815992179875588,True,s4_reflection_metrics_omega001.json,s4_reflection_summary_omega001.json,S4.2 time-window diagnostic; common t_cut is not fitted and is not a reflection coefficient.
50.0,7.0710678118654755,2811.Spin_Gauss_DirichletABC_theta=0+C_Omega=50_L=10_TauTail,1.414213562373095,1.414213562373095,20.0,100,100,1500,0.0007,0.01399999999999979,20.0,3.141592653589793,19.133333206176758,0.85333251953125,2.226,2.4649329535592694,7.554396350608608,18.53333282470703,1.4533329010009766,2.142,2.5489329535592695,7.478796350608607,7.478796350608607,3.6,3.878796350608607,True,s4_reflection_metrics_omega050.json,s4_reflection_summary_omega050.json,S4.2 time-window diagnostic; common t_cut is not fitted and is not a reflection coefficient.
100.0,10.0,2815.Spin_Gauss_DirichletABC_theta=0+C_Omega=100_L=10_TauTail,1.0,1.0,20.0,100,100,1500,0.0005,0.009999999999999787,20.0,3.141592653589793,19.133333206176758,0.85333251953125,2.21,2.380666395399478,6.015997393291864,18.53333282470703,1.4533329010009766,2.15,2.4406663953994783,5.961997393291862,5.961997393291862,3.6,2.3619973932918623,True,s4_reflection_metrics_omega100.json,s4_reflection_summary_omega100.json,S4.2 time-window diagnostic; common t_cut is not fitted and is not a reflection coefficient.
150.0,12.24744871391589,2812.Spin_Gauss_DirichletABC_theta=0+C_Omega=150_L=10_TauTail,0.816496580927726,0.816496580927726,20.0,100,100,1500,0.00025,0.004999999999999893,20.0,3.141592653589793,19.133333206176758,0.85333251953125,2.2,2.3564441957828555,5.688830943850881,18.53333282470703,1.4533329010009766,2.145,2.4114441957828556,5.639330943850881,5.639330943850881,3.6,2.039330943850881,True,s4_reflection_metrics_omega150.json,s4_reflection_summary_omega150.json,S4.2 time-window diagnostic; common t_cut is not fitted and is not a reflection coefficient.
200.0,14.142135623730951,2813.Spin_Gauss_DirichletABC_theta=0+C_Omega=200_L=10_TauTail,0.7071067811865475,0.7071067811865475,20.0,100,100,1500,0.0002,0.0040000000000000036,20.0,3.141592653589793,19.133333206176758,0.85333251953125,2.18,2.282399837239687,4.463598435975118,18.53333282470703,1.4533329010009766,2.144,2.3183998372396872,4.4311984359751175,4.4311984359751175,3.6,0.8311984359751174,True,s4_reflection_metrics_omega200.json,s4_reflection_summary_omega200.json,S4.2 time-window diagnostic; common t_cut is not fitted and is not a reflection coefficient.
300.0,17.320508075688775,2814.Spin_Gauss_DirichletABC_theta=0+C_Omega=300_L=10_TauTail,0.5773502691896257,0.5773502691896257,20.0,100,100,1500,0.00015,0.0030000000000001137,20.0,3.141592653589793,19.133333206176758,0.85333251953125,2.166,2.234266558159791,3.6883989573167453,18.53333282470703,1.4533329010009766,2.142,2.258266558159791,3.666798957316745,3.666798957316745,3.6,0.0667989573167449,True,s4_reflection_metrics_omega300.json,s4_reflection_summary_omega300.json,S4.2 time-window diagnostic; common t_cut is not fitted and is not a reflection coefficient.
