omega,sqrt_omega,D_T_approx,mu_star_approx,notes
1,1.0,0.93,5.153,values reported in manuscript/supplement; verify against final processed data
100,10.0,0.68,10.628,values reported in manuscript/supplement; verify against final processed data
200,14.142135623730951,0.51,13.411,values reported in manuscript/supplement; verify against final processed data
300,17.320508075688775,0.42,14.783,values reported in manuscript/supplement; verify against final processed data
