omega,sqrt_omega,Lx,Ly,Lz,Nx,Ny,Nz,hx,hy,hz,dt_solver,dt_diag,T_final,kappa,k0,sigma_z,theta,phi,eps_g,eps_g_sqrt_omega,q_omega,detector_budget_rel_error,integrated_detector_rate,norm_loss_diag,Z0_boundary_rate,rmst0_T,tau0_conditional_mean,E_s2,E_R2,E_abs_sa_bound,beta_bl,Lambda_omega,cov_t_Ra,rmst_gamma_linear_T,branch_Qminus_weighted_mean,branch_eta_minus_weighted_mean,edge_fraction_weighted_mean,neutral_R_fraction_weighted_mean,E2br_weighted_mean_active,E2br_median_active,E2br_max_active,E2br_hom_weighted_mean_active,E_linear_wave_weighted_mean_active,E_plus_only_historical_weighted_mean_active,valid_power_fraction_weighted_mean_active,Pi_minus_not_neglected,USE_FD_SYMBOL,ACTIVE_REL_THRESHOLD,REL_POWER_CUTOFF,RDELTA_MAX,source_script,source_json,notes
1.0,1.0,10.0,10.0,20.0,100,100,1500,0.10000000149011612,0.10000000149011612,0.013333333656191826,0.001,0.02,20.0,3.141592653589793,3.141592653589793,0.5,0.0,0.0,0.013333333656191826,0.013333333656191826,0.00017394204678630317,1.8284344100746276e-05,0.9250247928964083,0.9250078797340393,0.9250247928964083,5.1537897763800995,3.950473179065917,0.9784239657890818,0.9784239657890818,1.7149156208462826,-0.08028171601426977,-0.08028171601426977,-0.08028171601426977,0.16032027604524646,0.4955881589182201,1.002310938890159,1.7584062685361853e-09,0.1280261187813406,0.0017920341521508092,0.0015461802998593922,0.015709273034074708,0.001787572022244927,0.001729756178709944,0.687878797733346,0.9999999999918198,True,True,0.0001,1e-13,50.0,diagnose_boundary_symbol.py,s7_boundary_symbol_summary_omega001.json,one-grid S7 boundary-symbol diagnostic; auxiliary depth is not a physical detector thickness
50.0,7.0710678118654755,1.414213562373095,1.414213562373095,20.0,100,100,1500,0.01414213515818119,0.01414213515818119,0.013333333656191826,0.0007,0.014,20.0,3.141592653589793,3.141592653589793,0.5,0.0,0.0,0.013333333656191826,0.09428090644116063,0.02438761768629155,0.00040012356800322025,0.7875526067163716,0.7872376143932343,0.7875526067163716,8.193911190280717,5.0091426159533805,2.743606856838282,137.18034284191407,2.939695508425196,-0.024906332376133378,-0.1761143651764997,-0.17611436517650247,31.76337563737295,0.07317365286678768,0.2805979196729953,1.663152877554953e-11,0.04484758733997147,0.014827846578240543,0.014692247454070486,0.0283360318570446,0.014906213673840173,0.030105470128674792,0.3393128011610665,0.9999999999949595,True,True,0.0001,1e-13,50.0,diagnose_boundary_symbol.py,s7_boundary_symbol_summary_omega050.json,one-grid S7 boundary-symbol diagnostic; auxiliary depth is not a physical detector thickness
100.0,10.0,1.0,1.0,20.0,100,100,1500,0.009999999776482582,0.009999999776482582,0.013333333656191826,0.0005,0.01,20.0,3.141592653589793,3.141592653589793,0.5,0.0,0.0,0.013333333656191826,0.13333333656191826,0.05581799254958104,0.000722046890695732,0.6702080070598176,0.6697244346141815,0.6702080070598176,10.62202322795112,6.007363873210376,3.139761928859111,313.9761928859111,3.2352494948769466,0.03220922869784815,0.32209228697848147,0.3220922869784886,29.09445781868726,0.039313411443258325,0.20206626881004203,1.3266634162702961e-11,0.026664329886105353,0.029991214286859393,0.02986878861553008,0.04356118398589616,0.030350513620250815,0.06464311478361386,0.27673233008198606,0.9999999999963525,True,True,0.0001,1e-13,50.0,diagnose_boundary_symbol.py,s7_boundary_symbol_summary_omega100.json,one-grid S7 boundary-symbol diagnostic; auxiliary depth is not a physical detector thickness
200.0,14.142135623730951,0.7071067811865475,0.7071067811865475,20.0,100,100,1500,0.007071067579090595,0.007071067579090595,0.013333333656191826,0.00025,0.005,20.0,3.141592653589793,3.141592653589793,0.5,0.0,0.0,0.013333333656191826,0.18856181288232127,0.10378133723890436,0.0006768030465391938,0.5077908933341074,0.5074474513530731,0.5077908933341074,13.40720852813137,7.016719759228098,2.918849968487858,583.7699936975715,3.152648244123357,0.021472342138579847,0.3036647746829493,0.30366477468294306,20.330124772334337,0.02094317454050493,0.1461668055611181,2.1667578753836898e-11,0.020065783398806998,0.05440100346772611,0.05431960332956753,0.08530537780976587,0.055307885725188646,0.11861405086037859,0.2239205690453749,0.9999999999964563,True,True,0.0001,1e-13,50.0,diagnose_boundary_symbol.py,s7_boundary_symbol_summary_omega200.json,one-grid S7 boundary-symbol diagnostic; auxiliary depth is not a physical detector thickness
300.0,17.320508075688775,0.5773502691896257,0.5773502691896257,20.0,100,100,1500,0.005773502691896257,0.005773502691896257,0.013333333333333334,0.0001,0.002,20.0,3.141592653589793,3.141592653589793,0.5,0.0,0.0,0.013333333333333334,0.23094010767585035,0.14135704673420557,0.00023722990526661649,0.4160402101978271,0.4159415364265442,0.4160402101978271,14.78110090759656,7.455782002605341,2.6504446262663532,795.1333878799062,2.9963813628895863,0.010494206602373879,0.18176499020436324,0.18176499020421488,15.298073671720465,0.020182614819050634,0.14345653296155048,3.7770371367839874e-11,0.02297971180444696,0.07601193642988498,0.07597431254670951,0.09483116314668208,0.07719930156976977,0.1627131973446484,0.2237834562625181,0.9999999999958625,True,True,0.0001,1e-13,50.0,diagnose_boundary_symbol.py,s7_boundary_symbol_summary_omega300.json,one-grid S7 boundary-symbol diagnostic; auxiliary depth is not a physical detector thickness
