omega,sqrt_omega,depth_step,delta,epsilon_sqrt_omega,E_full_two_branch_rel_true_weighted_mean_active,E_full_two_branch_rel_true_median_active,E_full_two_branch_rel_true_max_active,E_full_two_branch_rel_hom_weighted_mean_active,E_linear_wave_rel_true_weighted_mean_active,E_plus_only_rel_true_historical_weighted_mean_active,valid_power_fraction_weighted_mean_active,source_json,notes
200.0,14.142135623730951,1,0.013333333656191826,0.18856181288232127,0.05440100346772611,0.05431960332956753,0.08530537780976587,0.055307885725188646,0.11861405086037859,0.2239205690453749,0.9999999999964563,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,2,0.02666666731238365,0.37712362576464253,0.14548904174473368,0.14516389191267437,0.2305779618688089,0.14400564070476182,0.4086827798017175,0.3138085832094177,0.9999999999964563,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,3,0.04000000096857548,0.5656854386469639,0.32110166209981517,0.3203023754401069,0.4581672148338928,0.2952260329330017,0.9329270233910678,0.45853797622666553,0.9999999999964563,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,4,0.0533333346247673,0.7542472515292851,0.6199559339269705,0.6385969990594608,2.6309794730195515,0.512560852400941,1.6882927002847976,0.6732851213156005,0.9999999999964563,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,8,0.1066666692495346,1.5084945030585701,2390.7642158622007,4484.994974121082,124790.3267070911,1.0002486967319042,2.9999719776112124,1.0542883952480755,0.9999999999964563,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,16,0.2133333384990692,3.0169890061171403,1203432567854.0784,2284772468621.749,96411307518800.44,0.9999999999999899,2.8915826377627267,1.0032936335982976,0.9999999999964563,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,32,0.4266666769981384,6.0339780122342805,767303609849658.8,1417394036281879.0,9.373705151852422e+16,1.0,4.026992662191967,0.9939329998079672,0.9999999999322609,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
200.0,14.142135623730951,64,0.8533333539962769,12.067956024468561,2.013172593383735e+16,1.1023829067461268e+16,2.3885359296816173e+17,1.0,16.21872028162572,0.9946687571261573,0.9999406992637468,s7_boundary_symbol_summary_omega200.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,1,0.013333333333333334,0.23094010767585035,0.07601193642988498,0.07597431254670951,0.09483116314668208,0.07719930156976977,0.1627131973446484,0.2237834562625181,0.9999999999958625,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,2,0.02666666666666667,0.4618802153517007,0.22285513698094075,0.2226531141016306,0.31768753813857825,0.21297506867551613,0.5818681263895661,0.31349518832868745,0.9999999999958625,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,3,0.04,0.692820323027551,0.5522696870626888,0.5617893256764606,2.97316394450576,0.45067055848977977,1.4039919986530873,0.4952775300731793,0.9999999999958625,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,4,0.05333333333333334,0.9237604307034014,2.9433110002541523,4.242641595771731,74.41511363850954,0.8968903194896175,2.6178076644436925,0.8124492166516881,0.9999999999958625,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,8,0.10666666666666667,1.8475208614068028,426895.77625632024,654579.8140061403,23351894.575277936,1.0000000000127307,3.26445469310099,1.0795246914753984,0.9999999999958625,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,16,0.21333333333333335,3.6950417228136057,2844549416452832.0,4474774036937949.0,1.4608030861523856e+17,1.0,2.9279835962402196,1.007425295041886,0.9999999999864381,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,32,0.4266666666666667,7.390083445627211,608544619164067.4,949240569433751.2,1.3549548949236208e+16,1.0,4.092315293400239,0.9968079341184929,0.9999999998155409,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
300.0,17.320508075688775,64,0.8533333333333334,14.780166891254423,3.148417867476782e+17,1.634885106872861e+17,3.233678768508816e+18,1.0,17.984143403938866,0.9965064884207829,0.9983474556308589,s7_boundary_symbol_summary_omega300.json,"depth-step sweep; one-grid depth is the central S7 diagnostic, larger depths are stress tests"
